timestamp,altitudeAboveGroundLevel,pressure
99.53362,-0.723999023,100531.992
99.55362,-0.753059387,100532.344
99.573612,-0.716072083,100531.883
99.593616,-0.723999023,100531.992
99.613616,-0.723999023,100531.992
99.63362,-0.745132446,100532.234
99.653624,-0.797981262,100532.875
99.673616,-0.760986328,100532.43
99.693616,-0.763633728,100532.461
99.71362,-0.750419617,100532.312
99.733624,-0.77948761,100532.656
99.753624,-0.824401855,100533.172
99.773616,-0.784767151,100532.695
99.793616,-0.787414551,100532.727
99.813616,-0.808547974,100532.984
99.833636,-0.829689026,100533.234
99.853636,-0.813835144,100533.07
99.873616,-0.790054321,100532.766
99.893616,-0.77684021,100532.602
99.913916,-0.800621033,100532.891
99.93362,-0.77948761,100532.664
99.953624,-0.795341492,100532.836
99.97362,-0.790054321,100532.789
99.993624,-0.808547974,100533
100.01362,-0.813835144,100533.07
100.033624,-0.871963501,100533.734
100.05364,-0.882537842,100533.883
100.073644,-0.908958435,100534.188
100.09362,-0.898391724,100534.055
100.11362,-0.906318665,100534.148
100.133624,-0.903671265,100534.125
100.153624,-0.877250671,100533.805
100.17362,-0.86668396,100533.695
100.19362,-0.885177612,100533.906
100.21362,-0.922172546,100534.359
100.233624,-0.903671265,100534.125
100.253624,-0.887817383,100533.938
100.273632,-0.916885376,100534.273
100.293632,-0.903671265,100534.141
100.31362,-0.94859314,100534.664
100.33362,-0.95388031,100534.719
100.35362,-0.908958435,100534.188
100.37362,-0.887817383,100533.953
100.39362,-0.874610901,100533.773
100.41362,-0.853469849,100533.523
100.43362,-0.853469849,100533.523
100.45362,-0.86668396,100533.703
100.47362,-0.890464783,100533.984
100.493624,-0.903671265,100534.141
100.513624,-0.964447021,100534.867
100.53362,-1.00408173,100535.32
100.55362,-0.969734192,100534.914
100.57362,-0.982940674,100535.078
100.59362,-0.969734192,100534.906
100.613624,-0.943305969,100534.602
100.633624,-0.95123291,100534.688
100.653628,-0.943305969,100534.594
100.673624,-0.919525146,100534.328
100.69362,-0.908958435,100534.203
100.713632,-0.898391724,100534.062
100.733644,-0.890464783,100533.961
100.753632,-0.86403656,100533.656
100.77362,-0.795341492,100532.852
